代碼,股利發放年度,股利合計
1737,2003,16.05
1737,2002,0.11
1737,2001,0.17
1301,2022,8.2
1301,2021,2.4
1301,2020,4.4
1301,2019,5.8
1301,2018,5.7
1301,2017,4.6
1301,2016,3.6
1301,2015,1.7
1301,2014,1.9
1301,2013,1.6
1301,2012,4.0
1301,2011,6.8
1301,2010,4.0
1301,2009,2.5
1301,2008,6.7
1301,2007,4.4
1301,2006,4.4
1301,2005,4.5
1301,2004,2.4
1301,2003,1.8
1301,2002,1.4
1301,2001,2.0
1301,2000,1.8
1301,1999,1.4
1301,1998,1.4
1301,1997,1.8
1301,1996,2.1
1301,1995,2.2
1301,1994,1.7
1301,1993,1.9
1301,1992,2.1
1301,1991,2.2
1301,1990,2.1
1301,1989,3.0
1301,1988,2.8
1301,1987,2.7
1301,1986,2.4
1301,1985,2.8
1301,1984,2.4
1303,2022,7.5
1303,2021,2.4
1303,2020,2.2
1303,2019,5.0
1303,2018,5.1
1303,2017,4.5
1303,2016,3.3
1303,2015,2.3
1303,2014,1.9
1303,2013,0.4
1303,2012,2.1
1303,2011,4.7
1303,2010,1.9
1303,2009,1.1
1303,2008,6.7
1303,2007,5.0
1303,2006,4.0
1303,2005,4.2
1303,2004,2.4
1303,2003,1.8
1303,2002,1.4
1303,2001,2.2
1303,2000,2.0
1303,1999,1.7
1303,1998,1.7
1303,1997,2.2
1303,1996,2.3
1303,1995,2.3
1303,1994,2.1
1303,1993,2.2
1303,1992,2.3
1303,1991,2.3
1303,1990,2.3
1303,1989,2.8
1303,1988,2.8
1303,1987,2.6
1303,1986,2.4
1303,1985,2.8
1303,1984,2.6
1304,2022,2.2
1304,2021,1.0
1304,2020,0.5
1304,2019,0.3
1304,2018,0.5
1304,2017,0.7
1304,2016,0.5
1304,2015,0.4
1304,2014,0.6
1304,2013,1.0
1304,2012,2.5
1304,2011,2.5
1304,2010,2.0
1304,2009,0.0
1304,2008,1.5
1304,2007,0.7
1304,2006,0.7
1304,2005,1.0
1304,2004,0.5
1304,2003,0.0
1304,2002,0.0
1304,2001,0.0
1304,2000,1.0
1304,1999,0.7
1304,1998,1.8
1304,1997,1.5
1304,1996,1.0
1304,1995,1.0
1304,1994,0.7
1304,1993,1.0
1304,1992,1.6
1304,1991,1.3
1304,1990,2.3
1304,1989,5.0
1304,1988,4.3
1304,1987,3.5
1304,1986,2.5
1304,1985,2.7
1304,1984,3.5
1305,2022,2.5
1305,2021,2.3
1305,2020,1.0
1305,2019,1.9
1305,2018,1.8
1305,2017,2.0
1305,2016,1.2
1305,2015,0.2
1305,2014,1.2
1305,2013,1.0
1305,2012,0.0
1305,2011,0.0
1305,2010,0.3
