代碼,商品,新聞內容,日期
6124,業強,業強:本公司有價證券近期多次達公布注意交易資訊標準，故公告相關訊息，以利投資人區別瞭解,2023-06-02
5283,禾聯碩,禾聯碩:公告本公司112年股東常會重要決議事項,2023-06-02
5283,禾聯碩,禾聯碩:公告本公司股東會決議通過解除董事競業禁止之限制案,2023-06-02
6569,醫揚,醫揚:公告本公司董事長訂定配息基準日,2023-06-02
5283,禾聯碩,禾聯碩:公告本公司董事長選任,2023-06-02
5283,禾聯碩,禾聯碩:公告本公司第三屆審計委員會委員名單,2023-06-02
5283,禾聯碩,禾聯碩:公告本公司副董事長選任,2023-06-02
3073,天方能源,天方能源5月營收0.06億元年減73.81% 1—5月達0.18億元,2023-06-02
9958,世紀鋼,世紀鋼:代重要子公司世紀樺欣風能股份有限公司公告112年股東常會重要決議事項,2023-06-02
9958,世紀鋼,世紀鋼:代重要子公司世紀樺欣風能股份有限公司公告112年股東常會董監事改選當選名單,2023-06-02
9958,世紀鋼,世紀鋼:代重要子公司世紀樺欣風能股份有限公司公告112年股東常會解除董事競業之限制,2023-06-02
9958,世紀鋼,世紀鋼:代重要子公司世紀樺欣風能股份有限公司公告董事會選任董事長,2023-06-02
3260,威剛,威剛:公告本公司112年股東常會重要決議事項,2023-06-02
8109,博大,博大:公告本公司112年5月合併營業收入淨額,2023-06-02
1452,宏益,宏益5月營收1.02億元年減42.76% 1—5月達4.44億元,2023-06-02
1477,聚陽,聚陽5月營收23.26億元年減3.13% 1—5月達122.59億元,2023-06-02
1560,中砂,中砂5月營收5.46億元年減8.91% 1—5月達26.18億元,2023-06-02
3147,大綜,大綜:本公司受邀參加元富證券所舉辦之「2023夏季產業投資論壇」,2023-06-02
5604,中連,中連:本公司112年股東常會重要決議,2023-06-02
5604,中連,中連:公告本公司112年股東常會全面改選董事，董事變動,2023-06-02
5604,中連,中連:公告本公司審計委員會成員異動,2023-06-02
2924,宏太-KY,宏太-KY:代取得人RIVER NORTH LIMITED(北川有限公司)、BEAUTY TREND HOLDINGS LIMITED(美興控股有限公司)、Angel Space Limited 及 龍行利興業有限公司依證券交易法第43條之1第1項(及企業併購法第27條第14項)規定辦理變動公告,2023-06-02
4747,強生製藥,強生製藥:公告本公司發行國內第一次無擔保轉換公司債,2023-06-02
4747,強生製藥,強生製藥:公告本公司發行國內第一次無擔保轉換公司債完成訂價,2023-06-02
3018,隆銘綠能,隆銘綠能:更正本公司111年12月營業收入及111年1-12月累計營業收入,2023-06-02
3018,隆銘綠能,隆銘綠能:公告本公司111年度會計師出具繼續經營有關之重大不確定性段落之查核報告,2023-06-02
927,群益半導體收益,「群益半導體收益」受益憑證自2023.06.06上市,2023-06-02
6112,邁達特,邁達特5月營收11.83億元年增22.31% 1—5月達57.58億元,2023-06-02
6237,驊訊,驊訊：員工認股權憑證發行及認股辦法,2023-06-02
2912,統一超,統一超:代子公司捷盟行銷股份有限公司公告取得自動化物流設備,2023-06-01
1229,聯華,聯華:公告本公司審計委員及薪資報酬委員辭任,2023-06-01
3221,台嘉碩,台嘉碩:公告本公司董事會決議現金股利除息基準日相關事宜,2023-06-01
1229,聯華,聯華:公告本公司獨立董事辭任,2023-06-01
8426,紅木-KY,紅木-KY:代重要子公司REDWOOD FURNITURE SDN. BHD. 公告召開臨時Member Return Resolution日期,2023-06-01
4126,太醫,太醫:本公司受邀參加統一證券舉辦之「2023 Q2夏季投資論壇」,2023-06-01
2548,華固,華固:公告本公司董事會委任第五屆薪資報酬委員會委員,2023-06-01
9930,中聯資源,中聯資源:公告本公司董事長變動。,2023-06-01
1108,幸福,幸福:代本公司之重要子公司幸孚預拌混凝土廠(股)公司公告董事會決議股利分派。,2023-06-01
1108,幸福,幸福:代本公司之重要子公司大升開發(股)公司公告董事會決議股利分派。,2023-06-01
2442,新美齊,新美齊:補行公告本公司簽訂新北市新店區寶元段902、912地號2筆土地部分持分合建契約之鑑價資料,2023-06-01
4743,合一,合一:公告本公司單醣抗體生產技術取得美國發明專利,2023-06-01
1737,臺鹽,臺鹽:代子公司臺鹽綠能股份有限公司公告財會處長請辭,2023-06-01
3360,尚立,尚立:代重要子公司尚茂智能科技股份有限公司公告董事會選任董事長,2023-06-01
6158,禾昌,禾昌5月營收1.65億元年減6.21% 1—5月達7.02億元,2023-06-01
4906,正文,正文:本公司發行國內第六次無擔保轉換公司債(正文六)發行暨上櫃日期公告,2023-06-01
1725,元禎,元禎:公告本公司獨立董事辭任,2023-06-01
3030,德律,德律5月營收3.45億元年減48.81% 1—5月達17.93億元,2023-06-01
3360,尚立,尚立:代重要子公司尚茂智能科技股份有限公司公告新任董事及監察人,2023-06-01
6533,晶心科,晶心科:本公司受邀參加元大證券舉辦之第二季投資論壇,2023-06-01
4529,淳紳,淳紳:公告本公司獨立董事辭任審計委員會暨薪資報酬委員會委員。,2023-06-01
4529,淳紳,淳紳:公告本公司獨立董事辭任獨立董事、審計委員會委員、薪資報酬委員會委員之職務。,2023-06-01
3360,尚立,尚立:代重要子公司尚茂智能科技股份有限公司公告112年股東會重要決議,2023-06-01
6533,晶心科,晶心科:本公司受邀參加Citi舉辦之Regional Tech Conference,2023-06-01
5009,榮剛,榮剛:本公司受邀參加凱基證券所舉辦之法說會「2023年第二季投資論壇」,2023-06-01
5706,鳳凰,鳳凰:代子公司雍利企業補發公告推選張家豪先生為董事長,2023-06-01
1725,元禎,元禎:公告本公司獨立董事辭任審計委員會與薪資報酬委員會委員,2023-06-01
1525,江申,"江申:因本公司有價證券於集中市場達公布注意交易資訊標準,故公布相關財務業務資訊，以利投資人區別瞭解。",2023-06-01
4413,飛寶企業,飛寶企業:本公司董事長訂定除息基準日等相關事宜,2023-06-01
4916,事欣科,事欣科:公告本公司配息基準日暨相關事宜,2023-06-01
